month,highTemp,avgTemp,lowTemp,highDew,avgDew,lowDew,highHumid,avgHumid,lowHumid,highSeaPressure,avgSeaPressure,lowSeaPressure,highVisi,avgVisi,lowVisi,highWind,avgWind,lowWind,sum_1,events
24,  34,  29,  24,  23,  20,  16,  75,  56,  38,  1011,  1007,  1001,  6,  5,  3,  19,  8,  -,  0.00,Rain
25,  34,  29,  24,  23,  19,  17,  72,  56,  35,  1011,  1007,  1001,  10,  5,  3,  26,  13,  -,  0.00,	 
26,  33,  29,  24,  23,  19,  16,  74,  56,  38,  1010,  1007,  1003,  6,  4,  3,  26,  11,  -,  0.00,	 
27,  35,  29,  24,  22,  19,  14,  71,  49,  28,  1011,  1008,  1001,  10,  5,  3,  26,  14,  -,  0.00,	 
28,  36,  29,  23,  21,  17,  11,  71,  43,  26,  1012,  1009,  1004,  10,  6,  3,  26,  14,  -,  0.00,	 
29,  35,  29,  23,  22,  17,  13,  66,  43,  29,  1012,  1008,  1003,  10,  5,  3,  32,  16,  -,  0.00,	 
30,  32,  28,  23,  23,  19,  16,  75,  57,  43,  1012,  1009,  1004,  6,  5,  3,  23,  14,  -,  0.00,	 
31,  34,  29,  23,  22,  19,  17,  74,  55,  38,  1011,  1008,  1003,  6,  5,  3,  23,  14,  -,  0.00,Rain
Aug,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum, 
1,  34,  29,  23,  23,  20,  17,  80,  57,  38,  1013,  1009,  1004,  6,  5,  3,  23,  11,  -,  0.00,	 
2,  34,  29,  24,  23,  20,  17,  74,  54,  36,  1013,  1009,  1003,  6,  5,  3,  19,  11,  -,  0.00,Rain
3,  37,  31,  24,  23,  19,  15,  78,  54,  32,  1011,  1007,  1002,  6,  5,  3,  19,  8,  -,  0.00,Rain
4,  31,  28,  24,  23,  19,  15,  73,  56,  43,  1009,  1006,  1002,  6,  5,  3,  24,  10,  -,  0.00,Rain
5,  34,  28,  23,  23,  18,  12,  80,  55,  28,  1009,  1006,  1002,  6,  5,  3,  29,  14,  -,  0.76,	 
6,  32,  27,  22,  24,  20,  16,  80,  63,  45,  1009,  1006,  1001,  6,  4,  3,  23,  10,  -,  2.03,Rain
7,  34,  28,  23,  24,  19,  17,  83,  58,  40,  1008,  1006,  1000,  6,  4,  3,  23,  10,  -,  0.00,Rain
8,  33,  28,  23,  23,  21,  18,  88,  62,  43,  1010,  1006,  1002,  6,  5,  3,  19,  13,  -,  0.00,Rain
9,  31,  27,  23,  24,  21,  18,  84,  67,  51,  1008,  1005,  1001,  10,  5,  3,  23,  11,  -,  0.00,	 
10,  34,  29,  24,  24,  22,  19,  82,  67,  52,  1008,  1005,  1001,  6,  4,  3,  19,  6,  -,  0.00,"Rain
	,
Thunderstorm"
11,  32,  27,  23,  24,  22,  21,  92,  77,  62,  1010,  1006,  1002,  6,  4,  3,  19,  6,  -,  0.00,Rain
12,  27,  25,  23,  23,  21,  18,  92,  77,  61,  1010,  1007,  1004,  5,  4,  2,  19,  6,  -,  0.00,Rain
13,  27,  24,  22,  22,  20,  18,  93,  72,  61,  1010,  1006,  1004,  6,  4,  2,  19,  10,  -,  0.00,Rain
14,  31,  27,  23,  23,  21,  18,  90,  64,  49,  1010,  1007,  1002,  6,  4,  3,  19,  5,  -,  0.00,Rain
15,  33,  28,  23,  24,  21,  18,  94,  60,  41,  1011,  1008,  1003,  6,  5,  3,  19,  6,  -,  0.00,Rain
16,  28,  25,  22,  23,  21,  19,  97,  75,  58,  1014,  1010,  1006,  5,  4,  3,  19,  6,  -,  0.00,Rain
17,  33,  28,  23,  23,  21,  19,  91,  64,  49,  1012,  1009,  1003,  6,  4,  3,  19,  6,  -,  0.00,	 
18,  32,  28,  24,  24,  22,  19,  85,  71,  52,  1013,  1010,  1006,  6,  4,  3,  11,  5,  -,  0.51,"Rain
	,
Thunderstorm"
19,  37,  31,  24,  25,  22,  19,  87,  64,  40,  1014,  1010,  1005,  6,  4,  3,  14,  3,  -,  0.00,"Rain
	,
Thunderstorm"
20,  31,  27,  22,  23,  21,  19,  95,  69,  52,  1014,  1011,  1006,  5,  4,  2,  26,  5,  -,  1.02,Rain
21,  32,  28,  23,  23,  21,  19,  86,  65,  51,  1014,  1010,  1005,  6,  5,  3,  19,  8,  -,  0.00,Rain
22,  30,  27,  23,  23,  20,  18,  82,  62,  52,  1012,  1008,  1004,  6,  4,  3,  19,  6,  -,  0.00,Rain
23,  32,  28,  23,  23,  19,  17,  83,  58,  44,  1011,  1008,  1004,  6,  5,  3,  19,  6,  -,  0.00,	 
24,  33,  28,  23,  22,  19,  17,  75,  57,  40,  1013,  1010,  1005,  6,  5,  3,  19,  10,  -,  0.00,	 
25,  33,  29,  24,  22,  20,  18,  76,  57,  41,  1013,  1008,  1003,  6,  5,  3,  19,  10,  -,  0.00,	 
26,  34,  29,  24,  23,  19,  17,  73,  55,  38,  1011,  1007,  1001,  10,  5,  3,  21,  10,  -,  0.00,	 
27,  33,  29,  24,  23,  21,  19,  76,  63,  43,  1010,  1007,  1002,  6,  4,  3,  19,  8,  -,  0.00,	 
28,  31,  28,  24,  25,  21,  18,  83,  70,  58,  1011,  1007,  1004,  6,  4,  3,  19,  8,  -,  2.03,Rain
29,  32,  28,  23,  23,  21,  19,  86,  67,  50,  1011,  1008,  1003,  6,  5,  3,  19,  11,  -,  0.00,	 
30,  32,  28,  24,  23,  21,  19,  81,  64,  51,  1011,  1008,  1003,  5,  4,  3,  23,  11,  -,  1.02,Rain
31,  32,  28,  23,  23,  20,  18,  79,  62,  46,  1013,  1009,  1005,  6,  5,  3,  14,  10,  -,  0.00,Rain
Sep,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum, 
1,  34,  29,  24,  22,  19,  16,  76,  53,  37,  1012,  1008,  1003,  10,  5,  3,  19,  8,  -,  0.00,	 
2,  34,  29,  24,  22,  19,  16,  66,  51,  36,  1011,  1008,  1003,  6,  5,  3,  21,  6,  -,  0.00,	 
3,  36,  31,  25,  23,  19,  16,  76,  49,  30,  1013,  1009,  1004,  10,  5,  3,  13,  3,  -,  0.00,	 
4,  36,  30,  24,  23,  21,  18,  80,  58,  33,  1015,  1012,  1007,  6,  4,  3,  14,  8,  -,  1.02,"Rain
	,
Hail
	,
Thunderstorm"
5,  36,  30,  23,  23,  20,  18,  79,  54,  36,  1016,  1012,  1007,  10,  5,  3,  19,  5,  -,  0.76,Thunderstorm
6,  35,  29,  23,  23,  21,  18,  91,  64,  38,  1015,  1011,  1005,  6,  4,  2,  11,  5,  -,  0.51,"Rain
	,
Thunderstorm"
7,  33,  28,  23,  23,  21,  18,  92,  71,  49,  1015,  1011,  1006,  6,  4,  3,  13,  6,  -,  7.11,"Rain
	,
Thunderstorm"
8,  33,  27,  21,  23,  21,  19,  95,  74,  49,  1015,  1011,  1006,  6,  4,  3,  11,  3,  -,  10.92,"Rain
	,
Thunderstorm"
9,  31,  26,  22,  23,  22,  20,  100,  81,  55,  1014,  1011,  1007,  6,  4,  2,  11,  3,  -,  0.00,"Rain
	,
Thunderstorm"
10,  31,  26,  21,  23,  22,  19,  99,  80,  58,  1013,  1010,  1006,  5,  4,  3,  11,  3,  -,  3.05,"Rain
	,
Thunderstorm"
11,  32,  27,  22,  24,  22,  19,  98,  81,  61,  1013,  1009,  1005,  5,  3,  2,  19,  3,  -,  21.08,"Rain
	,
Hail
	,
Thunderstorm"
12,  29,  26,  21,  24,  22,  19,  97,  77,  62,  1013,  1009,  1005,  6,  4,  2,  14,  5,  -,  0.00,Rain
13,  31,  27,  23,  24,  21,  18,  88,  68,  52,  1013,  1010,  1005,  5,  4,  3,  11,  6,  -,  0.00,Rain
14,  31,  27,  23,  25,  22,  19,  94,  77,  55,  1012,  1008,  1003,  5,  4,  3,  16,  6,  -,  8.89,Rain
15,  28,  24,  22,  24,  22,  20,  95,  84,  70,  1011,  1007,  1002,  4,  3,  2,  11,  5,  -,  0.00,Rain
16,  31,  27,  23,  25,  22,  20,  91,  72,  55,  1008,  1005,  999,  5,  4,  3,  23,  11,  -,  0.00,Rain
17,  30,  26,  22,  24,  22,  20,  97,  74,  58,  1006,  1003,  999,  5,  4,  2,  24,  10,  -,  10.92,Rain
18,  32,  27,  22,  24,  22,  19,  98,  71,  52,  1008,  1005,  1001,  6,  4,  3,  23,  6,  -,  14.99,"Rain
	,
Thunderstorm"
19,  33,  28,  22,  24,  21,  19,  96,  66,  49,  1010,  1007,  1002,  6,  5,  3,  19,  6,  -,  0.00,	 
20,  31,  27,  23,  24,  20,  18,  86,  62,  48,  1010,  1007,  1003,  6,  5,  3,  19,  6,  -,  0.00,	 
21,  32,  28,  23,  23,  19,  17,  78,  57,  45,  1012,  1008,  1004,  6,  5,  3,  14,  8,  -,  0.00,	 
22,  34,  28,  23,  22,  20,  17,  81,  60,  44,  1013,  1009,  1005,  6,  4,  3,  14,  6,  -,  0.00,	 
23,  35,  29,  23,  22,  19,  16,  84,  51,  34,  1015,  1011,  1006,  10,  5,  3,  11,  3,  -,  0.00,	 
24,  36,  31,  26,  23,  21,  18,  76,  53,  38,  1014,  1010,  1004,  6,  4,  3,  10,  3,  -,  0.00,Thunderstorm
25,  34,  29,  24,  24,  22,  20,  79,  59,  44,  1013,  1009,  1003,  6,  4,  3,  11,  3,  -,  0.00,"Rain
	,
Thunderstorm"
26,  32,  27,  22,  24,  22,  19,  89,  70,  52,  1014,  1009,  1005,  5,  4,  3,  11,  3,  -,  2.03,"Rain
	,
Thunderstorm"
27,  33,  28,  23,  24,  19,  14,  89,  53,  33,  1013,  1009,  1005,  6,  4,  3,  11,  3,  -,  0.00,	 
28,  32,  27,  21,  21,  18,  15,  84,  56,  38,  1013,  1010,  1005,  6,  4,  2,  11,  5,  -,  0.00,	 
29,  32,  28,  23,  22,  20,  18,  77,  60,  45,  1013,  1010,  1007,  6,  4,  3,  14,  6,  -,  0.00,	 
30,  30,  26,  22,  23,  21,  18,  95,  65,  48,  1015,  1012,  1007,  6,  5,  3,  19,  8,  -,  0.00,	 
Oct,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum, 
1,  30,  27,  23,  24,  22,  19,  98,  75,  53,  1016,  1012,  1008,  6,  4,  2,  16,  6,  -,  0.00,	 
2,  31,  27,  23,  23,  21,  19,  100,  71,  49,  1017,  1013,  1007,  6,  4,  3,  11,  6,  -,  0.00,	 
3,  33,  28,  23,  24,  22,  19,  97,  73,  46,  1016,  1012,  1008,  6,  4,  3,  19,  6,  -,  0.00,"Rain
	,
Thunderstorm"
4,  31,  26,  21,  24,  22,  19,  100,  81,  62,  1016,  1012,  1007,  5,  3,  1,  14,  8,  -,  0.00,"Rain
	,
Thunderstorm"
5,  33,  27,  22,  24,  19,  11,  98,  62,  29,  1015,  1011,  1006,  6,  4,  2,  16,  6,  -,  0.00,	 
6,  34,  28,  22,  24,  16,  10,  89,  50,  26,  1014,  1010,  1005,  6,  4,  3,  14,  6,  -,  0.00,	 
7,  33,  27,  20,  19,  14,  9,  73,  42,  23,  1014,  1011,  1006,  10,  5,  3,  14,  6,  -,  0.00,	 
8,  33,  26,  19,  19,  16,  11,  73,  45,  26,  1014,  1010,  1005,  6,  4,  3,  14,  5,  -,  0.00,	 
9,  35,  28,  21,  21,  15,  11,  78,  45,  21,  1013,  1009,  1004,  6,  4,  2,  11,  5,  -,  0.00,	 
10,  34,  29,  24,  22,  20,  16,  80,  58,  36,  1015,  1010,  1005,  6,  4,  3,  14,  8,  -,  0.00,	 
11,  34,  27,  21,  22,  20,  16,  100,  66,  37,  1016,  1012,  1008,  6,  4,  2,  19,  10,  -,  0.00,	 
12,  34,  28,  22,  24,  16,  8,  95,  48,  20,  1017,  1013,  1008,  6,  4,  1,  10,  5,  -,  0.00,Fog
13,  35,  28,  22,  20,  13,  4,  73,  39,  14,  1017,  1013,  1008,  6,  4,  2,  10,  5,  -,  0.00,	 
14,  36,  28,  20,  18,  15,  11,  78,  43,  23,  1017,  1014,  1008,  10,  5,  2,  10,  3,  -,  0.00,	 
15,  34,  27,  19,  22,  17,  13,  83,  50,  28,  1016,  1013,  1007,  6,  4,  2,  13,  5,  -,  0.00,	 
16,  33,  28,  22,  22,  19,  16,  91,  59,  38,  1018,  1013,  1009,  10,  4,  2,  14,  6,  -,  0.00,	 
17,  32,  27,  23,  23,  21,  18,  88,  67,  43,  1020,  1014,  1009,  6,  4,  1,  14,  5,  -,  0.00,	 
18,  32,  27,  22,  23,  20,  17,  96,  63,  43,  1020,  1015,  1010,  5,  4,  3,  16,  6,  -,  0.00,	 
19,  33,  27,  21,  23,  16,  10,  98,  52,  26,  1018,  1014,  1009,  6,  4,  2,  14,  6,  -,  0.00,	 
20,  33,  27,  20,  22,  16,  12,  82,  48,  28,  1016,  1012,  1007,  6,  4,  3,  19,  6,  -,  0.00,	 
21,  34,  27,  19,  21,  16,  11,  78,  46,  25,  1015,  1012,  1007,  6,  4,  3,  19,  8,  -,  0.00,	 
22,  34,  27,  21,  20,  16,  11,  73,  48,  23,  1018,  1013,  1008,  6,  4,  3,  13,  5,  -,  0.00,	 
23,  34,  27,  20,  21,  16,  13,  80,  46,  21,  1016,  1013,  1008,  5,  4,  3,  13,  6,  -,  0.00,	 
24,  33,  27,  20,  20,  17,  14,  78,  50,  34,  1017,  1013,  1007,  5,  4,  3,  14,  6,  -,  0.00,	 
25,  32,  27,  22,  21,  18,  15,  91,  60,  35,  1018,  1014,  1009,  5,  4,  3,  14,  8,  -,  0.00,	 
26,  32,  26,  20,  21,  16,  13,  91,  52,  28,  1020,  1015,  1010,  5,  4,  3,  19,  8,  -,  0.00,	 
27,  33,  26,  19,  19,  13,  8,  82,  44,  22,  1019,  1015,  1009,  5,  4,  3,  14,  8,  -,  0.00,	 
28,  31,  25,  19,  22,  17,  12,  84,  55,  30,  1018,  1014,  1008,  5,  4,  2,  16,  10,  -,  0.00,	 
29,  32,  27,  22,  23,  21,  18,  99,  71,  43,  1017,  1012,  1008,  5,  3,  3,  13,  8,  -,  0.00,	 
30,  33,  28,  22,  23,  19,  16,  98,  62,  38,  1015,  1012,  1007,  6,  4,  3,  14,  10,  -,  0.00,	 
31,  32,  26,  21,  22,  17,  15,  83,  54,  36,  1015,  1012,  1007,  6,  4,  3,  14,  10,  -,  0.00,Rain
Nov,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum, 
1,  33,  27,  21,  21,  16,  11,  95,  50,  26,  1016,  1012,  1008,  6,  4,  3,  16,  6,  -,  0.00,	 
2,  33,  27,  21,  22,  16,  12,  92,  51,  26,  1016,  1013,  1009,  6,  4,  3,  10,  6,  -,  0.00,	 
3,  33,  28,  23,  21,  17,  13,  86,  54,  35,  1018,  1014,  1009,  5,  4,  3,  14,  6,  -,  0.00,	 
4,  33,  27,  20,  22,  16,  11,  92,  49,  26,  1018,  1014,  1008,  6,  4,  3,  16,  6,  -,  0.00,	 
5,  33,  27,  22,  21,  16,  11,  73,  47,  29,  1018,  1014,  1009,  10,  5,  3,  11,  3,  -,  0.00,	 
6,  33,  26,  19,  19,  14,  9,  68,  43,  23,  1017,  1014,  1007,  10,  5,  3,  14,  3,  -,  0.00,	 
7,  32,  26,  19,  21,  16,  12,  79,  47,  28,  1018,  1014,  1009,  10,  6,  3,  11,  5,  -,  0.00,	 
8,  32,  27,  22,  19,  16,  13,  73,  46,  28,  1019,  1014,  1009,  10,  5,  3,  16,  5,  -,  0.00,	 
9,  31,  24,  18,  15,  12,  6,  68,  38,  22,  1018,  1013,  1008,  10,  5,  3,  14,  5,  -,  0.00,	 
10,  32,  26,  19,  16,  14,  11,  62,  47,  30,  1016,  1012,  1007,  10,  5,  3,  14,  3,  -,  0.00,	 
11,  33,  27,  20,  17,  12,  6,  67,  37,  20,  1017,  1013,  1008,  10,  5,  2,  21,  6,  -,  0.00,	 
12,  33,  26,  18,  18,  14,  11,  69,  44,  26,  1017,  1014,  1010,  10,  5,  3,  14,  2,  -,  0.00,	 
13,  33,  25,  17,  16,  12,  6,  68,  40,  18,  1020,  1016,  1010,  10,  5,  3,  19,  5,  -,  0.00,	 
14,  32,  24,  18,  16,  12,  8,  68,  41,  22,  1018,  1014,  1007,  10,  5,  3,  14,  3,  -,  0.00,	 
15,  33,  26,  18,  16,  11,  6,  72,  40,  18,  1016,  1013,  1008,  10,  5,  3,  19,  3,  -,  0.00,	 
16,  26,  23,  21,  18,  15,  13,  64,  53,  47,  1018,  1013,  1009,  4,  3,  3,  14,  3,  -,  0.00,	 
17,  31,  26,  20,  19,  15,  12,  75,  51,  33,  1015,  1012,  1007,  10,  5,  2,  19,  6,  -,  0.00,	 
18,  31,  24,  18,  19,  14,  9,  88,  45,  33,  1017,  1013,  1008,  10,  5,  2,  19,  8,  -,  0.00,	 
19,  31,  25,  19,  21,  14,  7,  91,  48,  33,  1018,  1014,  1010,  10,  5,  3,  19,  8,  -,  0.00,Rain
20,  26,  23,  20,  21,  19,  17,  88,  76,  60,  1018,  1014,  1011,  3,  3,  3,  13,  5,  -,  0.00,	 
21,  30,  26,  21,  21,  17,  15,  85,  57,  40,  1018,  1014,  1009,  6,  4,  2,  16,  6,  -,  0.00,	 
22,  30,  26,  22,  21,  18,  16,  78,  57,  43,  1018,  1013,  1009,  5,  4,  3,  14,  6,  -,  0.00,	 
23,  31,  28,  24,  21,  18,  16,  82,  58,  38,  1019,  1014,  1010,  10,  5,  0,  14,  5,  -,  0.00,	 
24,  32,  27,  22,  21,  19,  17,  83,  61,  38,  1019,  1014,  1010,  10,  4,  3,  11,  3,  -,  0.00,	 
25,  31,  25,  19,  19,  15,  12,  81,  50,  33,  1018,  1014,  1010,  10,  5,  3,  13,  5,  -,  0.00,	 
26,  32,  24,  17,  18,  14,  10,  85,  52,  28,  1017,  1014,  1009,  10,  5,  3,  14,  2,  -,  0.00,	 
27,  33,  26,  18,  18,  16,  11,  79,  47,  26,  1016,  1012,  1007,  10,  5,  3,  10,  2,  -,  0.00,	 
28,  31,  26,  21,  20,  16,  11,  79,  50,  28,  1017,  1014,  1011,  10,  5,  2,  14,  5,  -,  0.00,	 
29,  31,  26,  21,  18,  14,  10,  71,  43,  29,  1019,  1016,  1012,  10,  4,  3,  14,  6,  -,  0.00,	 
30,  30,  26,  22,  21,  18,  17,  75,  59,  48,  1018,  1016,  1012,  5,  4,  3,  14,  8,  -,  0.00,Rain
Dec,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum, 
1,  31,  26,  22,  21,  17,  14,  78,  52,  38,  1016,  1014,  1010,  10,  5,  3,  11,  5,  -,  0.00,	 
2,  27,  24,  22,  21,  18,  14,  79,  60,  50,  1019,  1015,  1012,  5,  4,  3,  14,  6,  -,  0.00,	 
3,  32,  26,  21,  17,  14,  11,  68,  43,  29,  1019,  1015,  1010,  10,  5,  3,  14,  6,  -,  0.00,	 
4,  32,  26,  19,  18,  13,  10,  80,  41,  26,  1018,  1014,  1010,  10,  5,  3,  14,  5,  -,  0.00,	 
5,  31,  24,  18,  19,  14,  11,  77,  48,  29,  1019,  1015,  1011,  10,  5,  3,  13,  3,  -,  0.00,	 
6,  29,  23,  18,  18,  15,  12,  72,  54,  37,  1020,  1016,  1011,  10,  4,  3,  16,  5,  -,  0.00,	 
7,  31,  24,  17,  18,  14,  10,  84,  55,  29,  1019,  1016,  1011,  10,  4,  2,  8,  3,  -,  0.00,	 
8,  31,  23,  16,  17,  14,  10,  77,  50,  30,  1019,  1015,  1012,  10,  5,  2,  10,  2,  -,  0.00,	 
9,  29,  23,  17,  17,  12,  7,  78,  50,  26,  1021,  1017,  1012,  10,  5,  2,  11,  5,  -,  0.00,	 
10,  33,  24,  17,  18,  15,  10,  86,  57,  24,  1019,  1015,  1010,  10,  4,  2,  8,  2,  -,  0.00,	 
11,  33,  26,  19,  20,  18,  14,  77,  53,  30,  1016,  1012,  1008,  10,  4,  2,  6,  3,  -,  0.00,	 
12,  35,  28,  21,  22,  19,  15,  75,  54,  30,  1016,  1011,  1007,  10,  4,  3,  10,  2,  -,  0.00,Rain
13,  34,  28,  22,  21,  19,  15,  73,  57,  35,  1014,  1011,  1007,  10,  4,  2,  10,  2,  -,  0.00,	 
14,  34,  28,  21,  20,  16,  11,  80,  45,  24,  1016,  1012,  1009,  10,  5,  3,  11,  5,  -,  0.00,	 
15,  33,  27,  21,  17,  12,  2,  59,  37,  16,  1018,  1014,  1008,  10,  6,  3,  11,  3,  -,  0.00,	 
16,  34,  27,  19,  17,  11,  1,  72,  38,  12,  1018,  1014,  1009,  10,  5,  3,  14,  5,  -,  0.00,	 
17,  33,  26,  19,  18,  12,  4,  87,  45,  15,  1018,  1014,  1008,  10,  5,  3,  13,  5,  -,  0.00,	 
18,  33,  26,  18,  19,  13,  5,  90,  42,  16,  1018,  1014,  1010,  10,  4,  3,  10,  3,  -,  0.00,	 
19,  32,  26,  19,  19,  15,  10,  83,  47,  29,  1020,  1016,  1012,  10,  5,  3,  14,  5,  -,  0.00,	 
20,  32,  26,  19,  20,  18,  14,  88,  62,  34,  1021,  1017,  1011,  10,  4,  1,  10,  5,  -,  0.00,Fog
21,  32,  27,  21,  21,  18,  14,  85,  60,  33,  1020,  1016,  1010,  10,  4,  2,  11,  5,  -,  0.00,	 
22,  33,  27,  19,  19,  16,  12,  78,  53,  26,  1021,  1017,  1011,  10,  5,  3,  10,  3,  -,  0.00,	 
23,  32,  26,  20,  20,  17,  11,  87,  55,  28,  1022,  1017,  1012,  10,  4,  1,  11,  3,  -,  0.00,Fog
24,  33,  26,  19,  18,  13,  8,  73,  41,  24,  1020,  1016,  1011,  10,  5,  3,  11,  3,  -,  0.00,	 
25,  28,  23,  17,  16,  6,  0,  62,  33,  20,  1023,  1019,  1014,  10,  5,  3,  14,  8,  -,  0.00,	 
26,  30,  21,  12,  12,  4,  -4,  52,  30,  16,  1023,  1020,  1014,  10,  5,  2,  8,  3,  -,  0.00,	 
27,  29,  21,  12,  11,  8,  7,  48,  30,  18,  1021,  1019,  1015,  10,  8,  3,  6,  2,  -,  0.00,	 
28,  32,  22,  13,  12,  5,  0,  58,  33,  14,  1025,  1021,  1016,  10,  5,  2,  14,  3,  -,  0.00,	 
29,  33,  23,  13,  12,  6,  0,  72,  33,  12,  1023,  1020,  1012,  10,  5,  2,  13,  3,  -,  0.00,	 
30,  33,  23,  13,  12,  7,  1,  67,  32,  13,  1022,  1018,  1012,  10,  5,  2,  14,  3,  -,  0.00,	 
31,  33,  23,  14,  15,  10,  6,  68,  39,  19,  1022,  1019,  1014,  10,  5,  1,  19,  5,  -,  0.00,	 
Jan,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum, 
1,  32,  24,  17,  18,  14,  11,  77,  54,  24,  1024,  1020,  1015,  10,  4,  1,  8,  2,  -,  0.00,	 
2,  33,  24,  16,  17,  10,  3,  82,  38,  16,  1021,  1019,  1014,  10,  5,  3,  11,  2,  -,  0.00,	 
3,  33,  26,  17,  14,  9,  1,  68,  37,  14,  1022,  1018,  1012,  10,  5,  2,  10,  2,  -,  0.00,	 
4,  31,  23,  16,  15,  11,  8,  71,  42,  24,  1023,  1019,  1014,  10,  5,  2,  11,  3,  -,  0.00,	 
5,  30,  23,  17,  17,  12,  9,  77,  49,  27,  1022,  1017,  1012,  10,  5,  2,  11,  3,  -,  0.00,	 
6,  30,  23,  16,  16,  12,  7,  77,  46,  27,  1022,  1018,  1012,  10,  5,  2,  10,  3,  -,  0.00,	 
7,  30,  24,  18,  17,  11,  6,  73,  41,  22,  1022,  1019,  1014,  10,  5,  2,  16,  5,  -,  0.00,	 
8,  30,  23,  16,  14,  9,  3,  77,  40,  18,  1023,  1019,  1014,  10,  5,  2,  14,  3,  -,  0.00,	 
9,  31,  23,  15,  13,  7,  0,  73,  36,  13,  1020,  1017,  1011,  10,  5,  2,  11,  3,  -,  0.00,	 
10,  30,  22,  15,  13,  7,  3,  69,  34,  17,  1022,  1018,  1013,  10,  5,  1,  13,  3,  -,  0.00,	 
11,  30,  22,  14,  13,  7,  3,  67,  34,  18,  1022,  1018,  1013,  10,  5,  2,  11,  3,  -,  0.00,	 
